Model,Overall,Arts & Photography,Biographies & Memoirs,Business & Money,Calendars,Children's Books,Christian Books & Bibles,Comics & Graphic Novels,Computers & Technology,"Cookbooks, Food & Wine","Crafts, Hobbies & Home",Education & Teaching,Engineering & Transportation,Gay & Lesbian,"Health, Fitness & Dieting",History,Humor & Entertainment,Law,Literature & Fiction,Medical Books,"Mystery, Thriller & Suspense",Parenting & Relationships,Politics & Social Sciences,Reference,Religion & Spirituality,Romance,Science & Math,Science Fiction & Fantasy,Self-Help,Sports & Outdoors,Teen & Young Adult,Test Preparation,Travel
sharegpt4v_7b,39.6484375,46.875,42.70833333333333,48.95833333333333,30.20833333333333,41.66666666666667,48.95833333333333,34.375,46.875,50.0,36.45833333333333,36.45833333333333,23.958333333333336,33.33333333333333,28.125,47.91666666666667,38.54166666666667,40.625,44.79166666666667,41.66666666666667,32.29166666666667,33.33333333333333,43.75,19.791666666666664,40.625,56.25,41.66666666666667,40.625,44.79166666666667,37.5,36.45833333333333,44.79166666666667,34.375
Yi_VL_34B,52.11588541666666,44.79166666666667,59.375,66.66666666666666,56.25,53.125,61.458333333333336,54.16666666666666,60.41666666666666,54.16666666666666,56.25,44.79166666666667,39.58333333333333,36.45833333333333,44.79166666666667,52.083333333333336,57.29166666666666,43.75,59.375,43.75,52.083333333333336,48.95833333333333,47.91666666666667,38.54166666666667,47.91666666666667,60.41666666666666,62.5,51.04166666666666,58.333333333333336,56.25,45.83333333333333,55.208333333333336,54.16666666666666
OmniLMM_12B,54.16666666666666,55.208333333333336,60.41666666666666,66.66666666666666,61.458333333333336,60.41666666666666,41.66666666666667,44.79166666666667,66.66666666666666,45.83333333333333,47.91666666666667,50.0,47.91666666666667,48.95833333333333,43.75,56.25,61.458333333333336,57.29166666666666,59.375,58.333333333333336,46.875,57.29166666666666,44.79166666666667,55.208333333333336,54.16666666666666,71.875,55.208333333333336,48.95833333333333,46.875,48.95833333333333,41.66666666666667,59.375,67.70833333333334
cogvlm2-llama3-chat-19B,65.72265625,69.79166666666666,72.91666666666666,79.16666666666666,63.54166666666666,71.875,68.75,68.75,71.875,68.75,75.0,59.375,53.125,57.29166666666666,65.625,64.58333333333334,67.70833333333334,61.458333333333336,64.58333333333334,57.29166666666666,64.58333333333334,63.54166666666666,59.375,50.0,68.75,68.75,73.95833333333334,62.5,63.54166666666666,60.41666666666666,67.70833333333334,66.66666666666666,71.875
idefics_9b_instruct,7.421875,4.166666666666666,11.458333333333332,8.333333333333332,2.083333333333333,8.333333333333332,8.333333333333332,14.583333333333334,11.458333333333332,10.416666666666668,7.291666666666667,11.458333333333332,6.25,6.25,8.333333333333332,4.166666666666666,5.208333333333334,3.125,8.333333333333332,7.291666666666667,11.458333333333332,7.291666666666667,8.333333333333332,7.291666666666667,7.291666666666667,6.25,3.125,4.166666666666666,5.208333333333334,5.208333333333334,7.291666666666667,8.333333333333332,9.375
XComposer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llava_v1.5_7b,52.40885416666666,50.0,55.208333333333336,66.66666666666666,38.54166666666667,59.375,65.625,53.125,61.458333333333336,63.54166666666666,50.0,45.83333333333333,32.29166666666667,47.91666666666667,44.79166666666667,55.208333333333336,50.0,54.16666666666666,64.58333333333334,58.333333333333336,47.91666666666667,48.95833333333333,52.083333333333336,30.20833333333333,48.95833333333333,59.375,47.91666666666667,45.83333333333333,54.16666666666666,57.29166666666666,53.125,61.458333333333336,53.125
llava_v1.5_13b,59.895833333333336,63.54166666666666,69.79166666666666,77.08333333333334,57.29166666666666,61.458333333333336,75.0,62.5,70.83333333333334,65.625,59.375,48.95833333333333,44.79166666666667,53.125,48.95833333333333,59.375,58.333333333333336,59.375,59.375,55.208333333333336,68.75,62.5,60.41666666666666,37.5,54.16666666666666,66.66666666666666,58.333333333333336,60.41666666666666,60.41666666666666,58.333333333333336,57.29166666666666,57.29166666666666,64.58333333333334
mPLUG-Owl2,65.55989583333334,67.70833333333334,70.83333333333334,81.25,66.66666666666666,72.91666666666666,73.95833333333334,64.58333333333334,73.95833333333334,71.875,66.66666666666666,58.333333333333336,48.95833333333333,62.5,59.375,66.66666666666666,61.458333333333336,63.54166666666666,65.625,57.29166666666666,66.66666666666666,61.458333333333336,58.333333333333336,55.208333333333336,61.458333333333336,78.125,70.83333333333334,62.5,63.54166666666666,63.54166666666666,62.5,65.625,73.95833333333334
InternVL2-8B,42.578125,38.54166666666667,46.875,48.95833333333333,39.58333333333333,44.79166666666667,39.58333333333333,45.83333333333333,44.79166666666667,46.875,44.79166666666667,41.66666666666667,34.375,39.58333333333333,34.375,52.083333333333336,34.375,37.5,46.875,38.54166666666667,43.75,34.375,47.91666666666667,38.54166666666667,38.54166666666667,50.0,42.70833333333333,41.66666666666667,56.25,38.54166666666667,36.45833333333333,40.625,53.125
GPT4o_MINI,17.67578125,17.708333333333336,18.75,15.625,21.875,26.041666666666668,13.541666666666666,17.708333333333336,13.541666666666666,17.708333333333336,19.791666666666664,9.375,12.5,19.791666666666664,13.541666666666666,23.958333333333336,18.75,13.541666666666666,26.041666666666668,8.333333333333332,22.916666666666664,13.541666666666666,23.958333333333336,16.666666666666664,15.625,29.166666666666668,18.75,15.625,21.875,16.666666666666664,17.708333333333336,11.458333333333332,13.541666666666666
