Model,Overall,Arts & Photography,Biographies & Memoirs,Business & Money,Calendars,Children's Books,Christian Books & Bibles,Comics & Graphic Novels,Computers & Technology,"Cookbooks, Food & Wine","Crafts, Hobbies & Home",Education & Teaching,Engineering & Transportation,Gay & Lesbian,"Health, Fitness & Dieting",History,Humor & Entertainment,Law,Literature & Fiction,Medical Books,"Mystery, Thriller & Suspense",Parenting & Relationships,Politics & Social Sciences,Reference,Religion & Spirituality,Romance,Science & Math,Science Fiction & Fantasy,Self-Help,Sports & Outdoors,Teen & Young Adult,Test Preparation,Travel
sharegpt4v_7b,63.37890625,66.66666666666666,71.875,75.0,64.58333333333334,65.625,73.95833333333334,66.66666666666666,67.70833333333334,67.70833333333334,62.5,52.083333333333336,47.91666666666667,54.16666666666666,48.95833333333333,70.83333333333334,57.29166666666666,58.333333333333336,69.79166666666666,57.29166666666666,64.58333333333334,60.41666666666666,61.458333333333336,46.875,67.70833333333334,71.875,69.79166666666666,59.375,62.5,64.58333333333334,62.5,65.625,71.875
Yi_VL_34B,42.3828125,39.58333333333333,42.70833333333333,57.29166666666666,54.16666666666666,29.166666666666668,45.83333333333333,40.625,54.16666666666666,38.54166666666667,41.66666666666667,36.45833333333333,27.08333333333333,34.375,43.75,41.66666666666667,37.5,38.54166666666667,51.04166666666666,37.5,41.66666666666667,36.45833333333333,34.375,34.375,37.5,61.458333333333336,59.375,34.375,38.54166666666667,51.04166666666666,35.41666666666667,52.083333333333336,47.91666666666667
OmniLMM_12B,59.08203125,58.333333333333336,67.70833333333334,77.08333333333334,63.54166666666666,62.5,46.875,46.875,71.875,64.58333333333334,51.04166666666666,54.16666666666666,50.0,52.083333333333336,46.875,64.58333333333334,67.70833333333334,61.458333333333336,63.54166666666666,58.333333333333336,47.91666666666667,63.54166666666666,48.95833333333333,53.125,60.41666666666666,75.0,68.75,56.25,54.16666666666666,50.0,55.208333333333336,61.458333333333336,66.66666666666666
cogvlm2-llama3-chat-19B,64.87630208333334,68.75,72.91666666666666,82.29166666666666,62.5,69.79166666666666,70.83333333333334,63.54166666666666,69.79166666666666,68.75,69.79166666666666,59.375,51.04166666666666,52.083333333333336,60.41666666666666,65.625,64.58333333333334,60.41666666666666,66.66666666666666,61.458333333333336,63.54166666666666,62.5,55.208333333333336,54.16666666666666,64.58333333333334,68.75,70.83333333333334,63.54166666666666,65.625,61.458333333333336,66.66666666666666,64.58333333333334,73.95833333333334
idefics_9b_instruct,0.0325520833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0416666666666663
XComposer,54.45963541666666,43.75,63.54166666666666,65.625,58.333333333333336,58.333333333333336,63.54166666666666,66.66666666666666,64.58333333333334,60.41666666666666,60.41666666666666,44.79166666666667,43.75,47.91666666666667,54.16666666666666,48.95833333333333,53.125,44.79166666666667,62.5,44.79166666666667,56.25,52.083333333333336,54.16666666666666,36.45833333333333,54.16666666666666,64.58333333333334,53.125,58.333333333333336,55.208333333333336,52.083333333333336,47.91666666666667,48.95833333333333,59.375
llava_v1.5_7b,60.579427083333336,59.375,67.70833333333334,69.79166666666666,62.5,65.625,66.66666666666666,63.54166666666666,64.58333333333334,68.75,59.375,52.083333333333336,45.83333333333333,50.0,53.125,57.29166666666666,60.41666666666666,57.29166666666666,65.625,59.375,65.625,57.29166666666666,60.41666666666666,39.58333333333333,59.375,69.79166666666666,61.458333333333336,55.208333333333336,60.41666666666666,63.54166666666666,57.29166666666666,67.70833333333334,71.875
llava_v1.5_13b,63.411458333333336,63.54166666666666,75.0,78.125,67.70833333333334,63.54166666666666,78.125,67.70833333333334,72.91666666666666,66.66666666666666,59.375,51.04166666666666,46.875,58.333333333333336,50.0,67.70833333333334,61.458333333333336,61.458333333333336,68.75,60.41666666666666,65.625,64.58333333333334,63.54166666666666,41.66666666666667,58.333333333333336,71.875,63.54166666666666,64.58333333333334,57.29166666666666,61.458333333333336,61.458333333333336,64.58333333333334,71.875
mPLUG-Owl2,65.234375,68.75,72.91666666666666,81.25,66.66666666666666,70.83333333333334,73.95833333333334,62.5,71.875,71.875,66.66666666666666,56.25,48.95833333333333,61.458333333333336,59.375,65.625,61.458333333333336,63.54166666666666,64.58333333333334,56.25,66.66666666666666,60.41666666666666,58.333333333333336,54.16666666666666,61.458333333333336,77.08333333333334,70.83333333333334,62.5,64.58333333333334,60.41666666666666,62.5,68.75,75.0
InternVL2-8B,42.578125,38.54166666666667,46.875,48.95833333333333,39.58333333333333,44.79166666666667,39.58333333333333,44.79166666666667,44.79166666666667,47.91666666666667,42.70833333333333,41.66666666666667,34.375,39.58333333333333,34.375,52.083333333333336,33.33333333333333,38.54166666666667,46.875,37.5,43.75,33.33333333333333,48.95833333333333,38.54166666666667,39.58333333333333,51.04166666666666,42.70833333333333,41.66666666666667,55.208333333333336,38.54166666666667,36.45833333333333,41.66666666666667,54.16666666666666
